0 2 
2 6 
5 6 
6 12 
8 13 
1 7 11 
2 3 4 
3 4 11 
4 5 10 
9 10 11 
1 10 11 
1 10 13 
2 4 7 
3 8 11 
4 10 11 
4 10 13 
4 12 13 
4 7 11 12 
